Group,Sub_Contructor,TP_value,TP_No,Step,Major_Priority,Sub_system,Test_media,Test_pressure,Inch_meter,Inch_dia,Support_Remain,Weld_Remain,Total_Support,SP_Welded,Total_DIA,WELD_DONE,Welding %,Package_Generation,Execution_Work,NDT,HS,LC,CL,H/V/P,DD,FC,RE,FD,Remark,RT_REMAIN(Joint),PT_REMAIN(Joint),PWHT_REMAIN(Joint),UT_REMAIN(Joint),PMI_REMAIN(Joint),REPAIR,Cutout,RTRP
05-Reinstatment,STP,0660,4000-08-NCD-02-660,09-Reinstatment,FINAL_AG,4000-08,WATER,5.2,0,24,0,0,,,24,24,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0661,4000-08-VA-04-661,09-Reinstatment,FINAL_AG,4000-08,WATER,11,0,116,0,0,9,9,116,116,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0662,4000-08-VA-05-662,09-Reinstatment,FINAL_AG,4000-08,WATER,11,0,131,0,0,11,11,131,131,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0663,4000-06-DMW-15-663,09-Reinstatment,FINAL_AG,4000-06,DEM WATER,5.25,0,106,0,0,2,2,103,103,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0664,4000-06-DMW-16-664,09-Reinstatment,FINAL_AG,4000-06,DEM WATER,11.25,0,422.75,0,0,5,5,419,419,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0666,4000-04-VA-04-666,09-Reinstatment,FINAL_AG,4000-04,WATER,11,0,87,0,0,4,4,87,87,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0667,4000-04-VA-05-667,09-Reinstatment,FINAL_AG,4000-04,WATER,11,0,85,0,0,4,4,85,85,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0685,3000-02-SG-11-685,09-Reinstatment,FINAL_AG,3000-02,DEM WATER,148.5,0,289.5,0,0,,,257.5,257.5,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0687,3000-02-SG-12-687,09-Reinstatment,FINAL_AG,3000-02,DEM WATER,148.5,0,289.5,0,0,,,257.5,257.5,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0688,4000-06-DMW-17-688,09-Reinstatment,FINAL_AG,4000-06,DEM WATER,5.25,0,224,0,0,6,6,222.5,222.5,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0691,4000-04-VA-06-691,09-Reinstatment,FINAL_AG,4000-04,VISUAL,0,0,36,0,0,,,36,36,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0693,4000-04-NCD-01-693,09-Reinstatment,FINAL_AG,4000-04,VISUAL,0,0,48,0,0,,,48,48,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0694,4000-04-NCD-02-694,09-Reinstatment,FINAL_AG,4000-04,VISUAL,0,0,12,0,0,,,12,12,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0695,4000-02-HPC-01-695,09-Reinstatment,FINAL_AG,4000-02,WATER,129,0,48.25,0,0,1,1,48.25,48.25,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0697,4000-04-VA-07-697,09-Reinstatment,FINAL_AG,4000-04,WATER,9.75,0,10,0,0,,,10,10,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0698,4000-06-SRW-11-698,09-Reinstatment,FINAL_UTL,4000-06,WATER,17.25,0,6.75,0,0,,,6.75,6.75,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0699,4000-04-NCD-03-699,09-Reinstatment,FINAL_AG,4000-04,WATER,9.75,0,24,0,0,,,24,24,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0701,5000-03-PMC-04-701,09-Reinstatment,FINAL_AG,5000-03,DEM WATER,10.5,0,9.75,0,0,,,9.75,9.75,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0702,3000-03-SG-08-702,09-Reinstatment,FINAL_AG,3000-03,DEM WATER,148.5,0,12.75,0,0,1,1,12.75,12.75,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0703,4000-13-HG-01-703,09-Reinstatment,FINAL_AG,4000-13,WATER,90,0,4,0,0,,,4,4,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0704,3000-01-TC-01-704,09-Reinstatment,FINAL_AG,3000-01,VISUAL,0,0,4.5,0,0,,,4.5,4.5,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0705,4000-06-DMW-18-705,09-Reinstatment,FINAL_AG,4000-06,VISUAL,0,0,10.5,0,0,,,10.5,10.5,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0707,3000-03-PMC-02-707,09-Reinstatment,FINAL_AG,3000-03,DEM WATER,150,0,247.5,0,0,2,2,247.5,247.5,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0708,3000-03-PMC-03-708,09-Reinstatment,FINAL_AG,3000-03,DEM WATER,150,0,253.5,0,0,2,2,253.5,253.5,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0709,3000-03-PMC-04-709,09-Reinstatment,FINAL_AG,3000-03,WATER,5.25,0,21.75,0,0,,,21.75,21.75,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0710,3000-03-PMC-05-710,09-Reinstatment,FINAL_AG,3000-03,WATER,5.25,0,15.75,0,0,,,15.75,15.75,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0713,3000-03-LPS-01-713,09-Reinstatment,FINAL_UTL,3000-03,WATER,3,0,144,0,0,2,2,144,144,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0715,4000-08-ROW-04-715,09-Reinstatment,FINAL_AG,4000-08,DEM WATER,19.5,0,212.75,0,0,2,2,210.5,210.5,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0716,4000-08-LO-01-716,09-Reinstatment,FINAL_AG,4000-08,VISUAL,0,0,8,0,0,,,8,8,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0717,4000-02-HPS-06-717,09-Reinstatment,FINAL_AG,4000-02,WATER,128.7,0,310.25,0,0,13,13,310.25,310.25,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0719,4000-02-LPS-07-719,09-Reinstatment,FINAL_AG,4000-02,WATER,16.7,0,327.75,0,0,4,4,306.25,306.25,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0720,4000-02-LPS-08-720,09-Reinstatment,FINAL_AG,4000-02,WATER,16.7,0,326.25,0,0,4,4,304,304,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0721,4000-14-FW-31-721,09-Reinstatment,FINAL_AG,4000-14,WATER,25.5,0,159,0,12,,,159,147,0.924528301886792,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0724,3000-03-LPS-02-724,09-Reinstatment,FINAL_UTL,3000-03,DEM WATER,148.5,0,52.25,0,0,2,2,52.25,52.25,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0725,3000-03-LPS-03-725,09-Reinstatment,FINAL_UTL,3000-03,WATER,17,0,7.5,0,0,,,6,6,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0726,3000-01-VA-07-726,09-Reinstatment,FINAL_AG,3000-01,VISUAL,0,0,32,0,0,1,1,32,32,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0728,3000-01-VA-09-728,09-Reinstatment,FINAL_AG,3000-01,VISUAL,0,0,191,0,0,3,3,191,191,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0729,3000-01-VA-10-729,09-Reinstatment,FINAL_AG,3000-01,VISUAL,0,0,96,0,0,2,2,96,96,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
